user_account,days_over_50_tweets,days_hour_ge_6_tweets,total_days_over_limit
DipzNDunkz,0,2,2
Dirado250435,0,1,1
Dirt_128,0,1,1
Disney__Bound,0,1,1
DiverseyGnay,0,1,1
Dj_Doublep,0,1,1
DmAnders1798,0,1,1
DmiShiro,0,1,1
DobeMoonShot,1,2,3
Dodotoshi,0,1,1
DogFromHalfLife,0,1,1
DogtarPepe,1,10,11
DonBonJohn,0,1,1
DonPepeX_Bot,5,8,13
Don_Grahamm,0,4,4
DonadoBFN,0,1,1
Donald pump,0,3,3
DongYeongKim6,0,1,1
DonnaArchibal12,0,4,4
DontFadePepe,0,1,1
DontShelll,0,1,1
Dostedwrld_999,0,1,1
Doug1148,1,9,10
DrCureGood,0,1,1
DrDiamondPaws22,0,2,2
DrGomezVikings,0,1,1
DrJuliett,0,1,1
DrStarboard,0,1,1
Dr_WoppieT,0,2,2
DragonBongSuper,0,1,1
DragonInvestX,0,1,1
Drcrypto918,0,1,1
Drewdotsui,0,1,1
Drjonesv0,0,8,8
DukeDotSui,0,1,1
Duncan E Baldwin,0,1,1
Dwills88,0,1,1
DylanLowe88,0,1,1
EBoone1010,0,2,2
ELAI,0,1,1
ELITE $OL🎖️🎖️💎,0,1,1
ETHISTRASH,0,1,1
EVL_BULL81,0,1,1
EarthZon3,0,1,1
Eco_pepe_,0,1,1
Ed_ward_dd,0,1,1
EdoEdoirawan351,0,1,1
EdwinMelonie,0,4,4
Edy_One4,0,1,1
EjioforDan19535,0,1,1
Ekay1092814,0,1,1
Ekonomik_Gundem,0,1,1
ElPepeReborn,0,4,4
ElaineGilmarti7,0,1,1
Elena_Vasquez14,0,1,1
EliteTI_Signals,1,1,2
EllaFlynns,0,1,1
ElonMuskDEO,0,4,4
ElonPepeMeme,0,2,2
Elston Auto Repair,0,1,1
Elusive_Pepe,0,17,17
ElvisBuysHouses,0,1,1
EmberChronicle,1,1,2
Emmet984708,0,1,1
EmoKing1st,0,1,1
Eren_Y_A,0,2,2
Eri,0,2,2
EricChals45847,0,4,4
Ericajonesxoxo,0,1,1
ErisaArt,0,22,22
ErlingStu,0,1,1
EspritEnParole,0,2,2
Etrnl_Roundtrip,0,1,1
EvanLuthra,0,1,1
Evansimaging_,0,1,1
EveeSolis,0,1,1
Everything_344,0,5,5
ExnemN,0,1,1
FBC News Fiji,0,1,1
FBM9491,0,1,1
FDaviskelly,1,3,4
FISHWGLASSESS,0,2,2
FLDetailPools,0,1,1
FLRMOONdotxyz,0,1,1
FMorcis58000,0,1,1
FXHanry52,0,1,1
FabdGPro,2,3,5
FabianoPatria22,0,1,1
Fabiano_Nevesag,0,2,2
Fabio,0,1,1
FabricioLorenzz,0,1,1
FameEX GLOBAL,0,1,1
FameEXGlobal,0,2,2
Famous_crypto1,0,4,4
FarmCoinManiac,0,1,1
Feelfreerazor,0,1,1
Felix Steven,0,4,4
Felixs32,0,1,1
FenianSox,0,1,1
Fidelprist,0,2,2
Fiesta_Lanes_NB,0,3,3
FindPepeSilvia,0,5,5
Fine25620,0,2,2
Flip887,0,1,1
FlippyDees,0,1,1
Floorskiphodl,0,1,1
FloppyAI,0,1,1
Fluenfy,0,1,1
FlymanCze,0,1,1
Fomo_pepe,0,3,3
ForcedInduktion,0,1,1
ForexMr_,1,14,15
Forge,0,1,1
Fr,0,1,1
FrOHzD,0,4,4
Frank Grootaarts,0,2,2
Frank_Alwin320,0,30,30
Frank_TheCook,0,1,1
Franmboise,0,1,1
FrattingerDan,0,1,1
FredAlabdala,0,2,2
FredMeye207,0,10,10
Freeman8_,0,1,1
FreiaSkogstad,0,1,1
Freya91227070,0,1,1
FriendlyGoat623,0,1,1
Frisbee_the_Cat,0,1,1
FritzScholtz,0,2,2
FrogFunds🐸,0,1,1
FrogTerminal,2,6,8
Fugaku2472389,0,1,1
FunmiGrace2196,0,1,1
Futterspace,0,1,1
Future_expart2,1,3,4
Future_tradingg,1,10,11
Futures_Expert,2,4,6
